"iteration","temp","objective_func_val","prop_worst_move_A","prob_worst_move_B","sweep_i","inputsKey","rewardRatio","niter","numSurveys","detectionProb","step","initTemp"
100000,6.35230744670482e-139,0.03210208164759,0,1,1,"cc_NGA_year_0",1,1e+05,250,0.01,0.0032,10
100000,6.35230744670482e-139,0.121689246030494,0,1,17,"cc_NGA_year_0",1,1e+05,250,0.1,0.0032,10
100000,6.35230744670482e-139,0.183416697286852,0,1,33,"cc_NGA_year_0",1,1e+05,250,0.25,0.0032,10
100000,6.35230744670482e-140,0.236102886372515,0,1,48,"cc_NGA_year_0",1,1e+05,250,0.5,0.0032,1
100000,6.35230744670482e-139,0.280632685632431,0,1,65,"cc_NGA_year_0",1,1e+05,250,0.85,0.0032,10
100000,6.35230744670482e-140,0.0489912306202356,0,1,80,"cc_NGA_year_0",1,1e+05,500,0.01,0.0032,1
100000,6.35230744670482e-139,0.162140332046903,0,1,97,"cc_NGA_year_0",1,1e+05,500,0.1,0.0032,10
100000,6.35230744670482e-139,0.22759680972903,0,1,113,"cc_NGA_year_0",1,1e+05,500,0.25,0.0032,10
100000,6.35230744670482e-139,0.281357752196005,0,1,129,"cc_NGA_year_0",1,1e+05,500,0.5,0.0032,10
100000,6.35230744670482e-139,0.326814704029803,0,1,145,"cc_NGA_year_0",1,1e+05,500,0.85,0.0032,10
100000,3.53852768834313e-43,0.0604034870152915,0,1,165,"cc_NGA_year_0",1,1e+05,750,0.01,0.001,10
100000,6.35230744670482e-139,0.185412751812293,0,1,177,"cc_NGA_year_0",1,1e+05,750,0.1,0.0032,10
100000,6.35230744670482e-139,0.253315569276194,0,1,193,"cc_NGA_year_0",1,1e+05,750,0.25,0.0032,10
100000,6.35230744670482e-139,0.306577210253294,0,1,209,"cc_NGA_year_0",1,1e+05,750,0.5,0.0032,10
100000,6.35230744670482e-140,0.35172462986651,0,1,224,"cc_NGA_year_0",1,1e+05,750,0.85,0.0032,1
100000,6.35230744670482e-140,0.0700778427738721,0,1,240,"cc_NGA_year_0",1,1e+05,1000,0.01,0.0032,1
100000,6.35230744670482e-140,0.202287556406197,0,1,256,"cc_NGA_year_0",1,1e+05,1000,0.1,0.0032,1
100000,6.35230744670482e-137,0.269851852909037,0,1,275,"cc_NGA_year_0",1,1e+05,1000,0.25,0.0032,1000
100000,6.35230744670482e-140,0.324424731127924,0,1,288,"cc_NGA_year_0",1,1e+05,1000,0.5,0.0032,1
100000,6.35230744670482e-137,0.370683175249871,0,1,307,"cc_NGA_year_0",1,1e+05,1000,0.85,0.0032,1000
